
>>> [1/63] EAR | dynahate | seed=123
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset dynahate --seed 123 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 06:26:11 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_dynahate_seed123_0315_0626
[Data] Train: 8844 | Val: 1091 | Test: 1111
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:   0%|          | 0/553 [00:00<?, ?it/s, ce=0.6802, ear=-1.5116, loss=0.5290]
[Train]:   0%|          | 1/553 [00:00<07:37,  1.21it/s, ce=0.6802, ear=-1.5116, loss=0.5290]
[Train]:   0%|          | 1/553 [00:00<07:37,  1.21it/s, ce=0.6776, ear=-1.5669, loss=0.5209]
[Train]:   0%|          | 2/553 [00:00<04:01,  2.28it/s, ce=0.6776, ear=-1.5669, loss=0.5209]
[Train]:   0%|          | 2/553 [00:01<04:01,  2.28it/s, ce=0.6881, ear=-1.5747, loss=0.5306]
[Train]:   1%|          | 3/553 [00:01<02:36,  3.51it/s, ce=0.6881, ear=-1.5747, loss=0.5306]
[Train]:   1%|          | 3/553 [00:01<02:36,  3.51it/s, ce=0.6953, ear=-1.5518, loss=0.5401]
[Train]:   1%|          | 4/553 [00:01<02:02,  4.46it/s, ce=0.6953, ear=-1.5518, loss=0.5401]
[Train]:   1%|          | 4/553 [00:01<02:02,  4.46it/s, ce=0.6909, ear=-1.5605, loss=0.5349]
[Train]:   1%|          | 4/553 [00:01<02:02,  4.46it/s, ce=0.6890, ear=-1.5501, loss=0.5340]
[Train]:   1%|          | 6/553 [00:01<01:26,  6.30it/s, ce=0.6890, ear=-1.5501, loss=0.5340]
[Train]:   1%|          | 6/553 [00:01<01:26,  6.30it/s, ce=0.6950, ear=-1.5672, loss=0.5383]
[Train]:   1%|          | 6/553 [00:01<01:26,  6.30it/s, ce=0.7011, ear=-1.5469, loss=0.5464]
[Train]:   1%|▏         | 8/553 [00:01<01:11,  7.64it/s, ce=0.7011, ear=-1.5469, loss=0.5464]
[Train]:   1%|▏         | 8/553 [00:01<01:11,  7.64it/s, ce=0.7137, ear=-1.5521, loss=0.5585]
[Train]:   1%|▏         | 8/553 [00:01<01:11,  7.64it/s, ce=0.7114, ear=-1.5494, loss=0.5564]
[Train]:   2%|▏         | 10/553 [00:01<01:03,  8.49it/s, ce=0.7114, ear=-1.5494, loss=0.5564]
[Train]:   2%|▏         | 10/553 [00:01<01:03,  8.49it/s, ce=0.7131, ear=-1.5468, loss=0.5584]
[Train]:   2%|▏         | 10/553 [00:02<01:03,  8.49it/s, ce=0.7105, ear=-1.5433, loss=0.5562]
[Train]:   2%|▏         | 12/553 [00:02<00:59,  9.06it/s, ce=0.7105, ear=-1.5433, loss=0.5562]
[Train]:   2%|▏         | 12/553 [00:02<00:59,  9.06it/s, ce=0.7064, ear=-1.5381, loss=0.5526]
[Train]:   2%|▏         | 12/553 [00:02<00:59,  9.06it/s, ce=0.7084, ear=-1.5379, loss=0.5546]
[Train]:   3%|▎         | 14/553 [00:02<00:57,  9.39it/s, ce=0.7084, ear=-1.5379, loss=0.5546]
[Train]:   3%|▎         | 14/553 [00:02<00:57,  9.39it/s, ce=0.7077, ear=-1.5361, loss=0.5541]
[Train]:   3%|▎         | 14/553 [00:02<00:57,  9.39it/s, ce=0.7095, ear=-1.5358, loss=0.5560]
[Train]:   3%|▎         | 16/553 [00:02<00:55,  9.62it/s, ce=0.7095, ear=-1.5358, loss=0.5560]
[Train]:   3%|▎         | 16/553 [00:02<00:55,  9.62it/s, ce=0.7091, ear=-1.5291, loss=0.5562]
[Train]:   3%|▎         | 16/553 [00:02<00:55,  9.62it/s, ce=0.7095, ear=-1.5325, loss=0.5563]
[Train]:   3%|▎         | 18/553 [00:02<00:53,  9.94it/s, ce=0.7095, ear=-1.5325, loss=0.5563]
[Train]:   3%|▎         | 18/553 [00:02<00:53,  9.94it/s, ce=0.7071, ear=-1.5360, loss=0.5535]
[Train]:   3%|▎         | 18/553 [00:02<00:53,  9.94it/s, ce=0.7100, ear=-1.5324, loss=0.5568]
[Train]:   4%|▎         | 20/553 [00:02<00:52, 10.12it/s, ce=0.7100, ear=-1.5324, loss=0.5568]
[Train]:   4%|▎         | 20/553 [00:02<00:52, 10.12it/s, ce=0.7072, ear=-1.5364, loss=0.5536]
[Train]:   4%|▎         | 20/553 [00:02<00:52, 10.12it/s, ce=0.7042, ear=-1.5284, loss=0.5513]
[Train]:   4%|▍         | 22/553 [00:02<00:52, 10.20it/s, ce=0.7042, ear=-1.5284, loss=0.5513]
[Train]:   4%|▍         | 22/553 [00:03<00:52, 10.20it/s, ce=0.7039, ear=-1.5247, loss=0.5515]
[Train]:   4%|▍         | 22/553 [00:03<00:52, 10.20it/s, ce=0.7029, ear=-1.5277, loss=0.5501]
[Train]:   4%|▍         | 24/553 [00:03<00:51, 10.18it/s, ce=0.7029, ear=-1.5277, loss=0.5501]
[Train]:   4%|▍         | 24/553 [00:03<00:51, 10.18it/s, ce=0.7022, ear=-1.5238, loss=0.5499]
[Train]:   4%|▍         | 24/553 [00:03<00:51, 10.18it/s, ce=0.7012, ear=-1.5240, loss=0.5488]
[Train]:   5%|▍         | 26/553 [00:03<00:52, 10.11it/s, ce=0.7012, ear=-1.5240, loss=0.5488]
[Train]:   5%|▍         | 26/553 [00:03<00:52, 10.11it/s, ce=0.7019, ear=-1.5208, loss=0.5498]
[Train]:   5%|▍         | 26/553 [00:03<00:52, 10.11it/s, ce=0.7016, ear=-1.5222, loss=0.5493]
[Train]:   5%|▌         | 28/553 [00:03<00:51, 10.25it/s, ce=0.7016, ear=-1.5222, loss=0.5493]
[Train]:   5%|▌         | 28/553 [00:03<00:51, 10.25it/s, ce=0.7013, ear=-1.5247, loss=0.5489]
[Train]:   5%|▌         | 28/553 [00:03<00:51, 10.25it/s, ce=0.7023, ear=-1.5254, loss=0.5498]
[Train]:   5%|▌         | 30/553 [00:03<00:50, 10.45it/s, ce=0.7023, ear=-1.5254, loss=0.5498]
[Train]:   5%|▌         | 30/553 [00:03<00:50, 10.45it/s, ce=0.7033, ear=-1.5257, loss=0.5507]
[Train]:   5%|▌         | 30/553 [00:03<00:50, 10.45it/s, ce=0.7040, ear=-1.5282, loss=0.5512]
[Train]:   6%|▌         | 32/553 [00:03<00:49, 10.53it/s, ce=0.7040, ear=-1.5282, loss=0.5512]
[Train]:   6%|▌         | 32/553 [00:04<00:49, 10.53it/s, ce=0.7053, ear=-1.5282, loss=0.5525]
[Train]:   6%|▌         | 32/553 [00:04<00:49, 10.53it/s, ce=0.7074, ear=-1.5267, loss=0.5547]
[Train]:   6%|▌         | 34/553 [00:04<00:50, 10.38it/s, ce=0.7074, ear=-1.5267, loss=0.5547]
[Train]:   6%|▌         | 34/553 [00:04<00:50, 10.38it/s, ce=0.7071, ear=-1.5242, loss=0.5547]
