
>>> [1/63] EAR | toxigen | seed=42
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset toxigen --seed 42 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 04:04:36 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_toxigen_seed42_0315_0404
[Data] Train: 7168 | Val: 896 | Test: 896
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   0%|          | 0/448 [00:00<?, ?it/s, ce=0.7406, ear=-1.9290, loss=0.5477]
[Train]:   0%|          | 1/448 [00:00<06:08,  1.21it/s, ce=0.7406, ear=-1.9290, loss=0.5477]
[Train]:   0%|          | 1/448 [00:00<06:08,  1.21it/s, ce=0.7728, ear=-1.9539, loss=0.5774]
[Train]:   0%|          | 2/448 [00:00<03:10,  2.34it/s, ce=0.7728, ear=-1.9539, loss=0.5774]
[Train]:   0%|          | 2/448 [00:01<03:10,  2.34it/s, ce=0.7883, ear=-1.9571, loss=0.5926]
[Train]:   0%|          | 2/448 [00:01<03:10,  2.34it/s, ce=0.7498, ear=-1.9507, loss=0.5547]
[Train]:   1%|          | 4/448 [00:01<01:38,  4.50it/s, ce=0.7498, ear=-1.9507, loss=0.5547]
[Train]:   1%|          | 4/448 [00:01<01:38,  4.50it/s, ce=0.7432, ear=-1.9232, loss=0.5509]
[Train]:   1%|          | 4/448 [00:01<01:38,  4.50it/s, ce=0.7324, ear=-1.9177, loss=0.5406]
[Train]:   1%|▏         | 6/448 [00:01<01:12,  6.13it/s, ce=0.7324, ear=-1.9177, loss=0.5406]
[Train]:   1%|▏         | 6/448 [00:01<01:12,  6.13it/s, ce=0.7329, ear=-1.9221, loss=0.5407]
[Train]:   1%|▏         | 6/448 [00:01<01:12,  6.13it/s, ce=0.7273, ear=-1.9176, loss=0.5356]
[Train]:   2%|▏         | 8/448 [00:01<00:59,  7.44it/s, ce=0.7273, ear=-1.9176, loss=0.5356]
[Train]:   2%|▏         | 8/448 [00:01<00:59,  7.44it/s, ce=0.7259, ear=-1.9170, loss=0.5342]
[Train]:   2%|▏         | 8/448 [00:01<00:59,  7.44it/s, ce=0.7296, ear=-1.9127, loss=0.5383]
[Train]:   2%|▏         | 10/448 [00:01<00:52,  8.39it/s, ce=0.7296, ear=-1.9127, loss=0.5383]
[Train]:   2%|▏         | 10/448 [00:01<00:52,  8.39it/s, ce=0.7262, ear=-1.9101, loss=0.5351]
[Train]:   2%|▏         | 10/448 [00:01<00:52,  8.39it/s, ce=0.7202, ear=-1.9077, loss=0.5294]
[Train]:   3%|▎         | 12/448 [00:01<00:47,  9.09it/s, ce=0.7202, ear=-1.9077, loss=0.5294]
[Train]:   3%|▎         | 12/448 [00:02<00:47,  9.09it/s, ce=0.7177, ear=-1.9210, loss=0.5256]
[Train]:   3%|▎         | 12/448 [00:02<00:47,  9.09it/s, ce=0.7141, ear=-1.9274, loss=0.5214]
[Train]:   3%|▎         | 14/448 [00:02<00:45,  9.48it/s, ce=0.7141, ear=-1.9274, loss=0.5214]
[Train]:   3%|▎         | 14/448 [00:02<00:45,  9.48it/s, ce=0.7169, ear=-1.9249, loss=0.5244]
[Train]:   3%|▎         | 14/448 [00:02<00:45,  9.48it/s, ce=0.7190, ear=-1.9264, loss=0.5264]
[Train]:   4%|▎         | 16/448 [00:02<00:44,  9.78it/s, ce=0.7190, ear=-1.9264, loss=0.5264]
[Train]:   4%|▎         | 16/448 [00:02<00:44,  9.78it/s, ce=0.7172, ear=-1.9233, loss=0.5249]
[Train]:   4%|▎         | 16/448 [00:02<00:44,  9.78it/s, ce=0.7158, ear=-1.9190, loss=0.5239]
[Train]:   4%|▍         | 18/448 [00:02<00:42, 10.11it/s, ce=0.7158, ear=-1.9190, loss=0.5239]
[Train]:   4%|▍         | 18/448 [00:02<00:42, 10.11it/s, ce=0.7217, ear=-1.9189, loss=0.5298]
[Train]:   4%|▍         | 18/448 [00:02<00:42, 10.11it/s, ce=0.7233, ear=-1.9153, loss=0.5318]
[Train]:   4%|▍         | 20/448 [00:02<00:41, 10.35it/s, ce=0.7233, ear=-1.9153, loss=0.5318]
[Train]:   4%|▍         | 20/448 [00:02<00:41, 10.35it/s, ce=0.7235, ear=-1.9217, loss=0.5314]
[Train]:   4%|▍         | 20/448 [00:02<00:41, 10.35it/s, ce=0.7246, ear=-1.9260, loss=0.5320]
[Train]:   5%|▍         | 22/448 [00:02<00:41, 10.38it/s, ce=0.7246, ear=-1.9260, loss=0.5320]
[Train]:   5%|▍         | 22/448 [00:02<00:41, 10.38it/s, ce=0.7229, ear=-1.9287, loss=0.5301]
[Train]:   5%|▍         | 22/448 [00:03<00:41, 10.38it/s, ce=0.7279, ear=-1.9328, loss=0.5346]
[Train]:   5%|▌         | 24/448 [00:03<00:39, 10.87it/s, ce=0.7279, ear=-1.9328, loss=0.5346]
[Train]:   5%|▌         | 24/448 [00:03<00:39, 10.87it/s, ce=0.7246, ear=-1.9292, loss=0.5317]
[Train]:   5%|▌         | 24/448 [00:03<00:39, 10.87it/s, ce=0.7216, ear=-1.9307, loss=0.5285]
[Train]:   6%|▌         | 26/448 [00:03<00:39, 10.76it/s, ce=0.7216, ear=-1.9307, loss=0.5285]
[Train]:   6%|▌         | 26/448 [00:03<00:39, 10.76it/s, ce=0.7200, ear=-1.9279, loss=0.5272]
[Train]:   6%|▌         | 26/448 [00:03<00:39, 10.76it/s, ce=0.7184, ear=-1.9275, loss=0.5256]
[Train]:   6%|▋         | 28/448 [00:03<00:39, 10.64it/s, ce=0.7184, ear=-1.9275, loss=0.5256]
