
>>> [1/63] GetFair | dynahate | seed=42
>>> Command: python3 src_script/train/train_baseline_getfair.py --dataset dynahate --seed 42 --lambda_gf 0.5 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 05:49:47 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] GetFair_dynahate_seed42_0315_0549
[Data] Train: 8844 | Val: 1091 | Test: 1111
[Model] GetFair | lambda_gf=0.5

Epoch 1/6

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:   0%|          | 0/553 [00:00<?, ?it/s, ce=0.7667, gf=0.0003, loss=0.7669]
[Train]:   0%|          | 1/553 [00:00<06:21,  1.45it/s, ce=0.7667, gf=0.0003, loss=0.7669]
[Train]:   0%|          | 1/553 [00:00<06:21,  1.45it/s, ce=0.7209, gf=0.0002, loss=0.7210]
[Train]:   0%|          | 2/553 [00:00<04:10,  2.20it/s, ce=0.7209, gf=0.0002, loss=0.7210]
[Train]:   0%|          | 2/553 [00:01<04:10,  2.20it/s, ce=0.6957, gf=0.0001, loss=0.6957]
[Train]:   1%|          | 3/553 [00:01<03:07,  2.93it/s, ce=0.6957, gf=0.0001, loss=0.6957]
[Train]:   1%|          | 3/553 [00:01<03:07,  2.93it/s, ce=0.7071, gf=0.0001, loss=0.7072]
[Train]:   1%|          | 4/553 [00:01<02:42,  3.37it/s, ce=0.7071, gf=0.0001, loss=0.7072]
[Train]:   1%|          | 4/553 [00:01<02:42,  3.37it/s, ce=0.6952, gf=0.0001, loss=0.6952]
[Train]:   1%|          | 5/553 [00:01<02:24,  3.79it/s, ce=0.6952, gf=0.0001, loss=0.6952]
[Train]:   1%|          | 5/553 [00:01<02:24,  3.79it/s, ce=0.6977, gf=0.0001, loss=0.6977]
[Train]:   1%|          | 6/553 [00:01<02:17,  3.97it/s, ce=0.6977, gf=0.0001, loss=0.6977]
[Train]:   1%|          | 6/553 [00:02<02:17,  3.97it/s, ce=0.7046, gf=0.0001, loss=0.7047]
[Train]:   1%|▏         | 7/553 [00:02<02:08,  4.24it/s, ce=0.7046, gf=0.0001, loss=0.7047]
[Train]:   1%|▏         | 7/553 [00:02<02:08,  4.24it/s, ce=0.6927, gf=0.0000, loss=0.6928]
[Train]:   1%|▏         | 8/553 [00:02<02:07,  4.26it/s, ce=0.6927, gf=0.0000, loss=0.6928]
[Train]:   1%|▏         | 8/553 [00:02<02:07,  4.26it/s, ce=0.6834, gf=0.0000, loss=0.6834]
[Train]:   2%|▏         | 9/553 [00:02<02:02,  4.44it/s, ce=0.6834, gf=0.0000, loss=0.6834]
[Train]:   2%|▏         | 9/553 [00:02<02:02,  4.44it/s, ce=0.6999, gf=0.0000, loss=0.6999]
[Train]:   2%|▏         | 10/553 [00:02<02:03,  4.40it/s, ce=0.6999, gf=0.0000, loss=0.6999]
[Train]:   2%|▏         | 10/553 [00:02<02:03,  4.40it/s, ce=0.7125, gf=0.0000, loss=0.7125]
[Train]:   2%|▏         | 11/553 [00:02<01:59,  4.54it/s, ce=0.7125, gf=0.0000, loss=0.7125]
[Train]:   2%|▏         | 11/553 [00:03<01:59,  4.54it/s, ce=0.7091, gf=0.0000, loss=0.7091]
[Train]:   2%|▏         | 12/553 [00:03<02:00,  4.49it/s, ce=0.7091, gf=0.0000, loss=0.7091]
[Train]:   2%|▏         | 12/553 [00:03<02:00,  4.49it/s, ce=0.6973, gf=0.0000, loss=0.6973]
[Train]:   2%|▏         | 13/553 [00:03<01:57,  4.61it/s, ce=0.6973, gf=0.0000, loss=0.6973]
[Train]:   2%|▏         | 13/553 [00:03<01:57,  4.61it/s, ce=0.7095, gf=0.0000, loss=0.7096]
[Train]:   3%|▎         | 14/553 [00:03<01:58,  4.53it/s, ce=0.7095, gf=0.0000, loss=0.7096]
[Train]:   3%|▎         | 14/553 [00:03<01:58,  4.53it/s, ce=0.7098, gf=0.0000, loss=0.7098]
