
>>> [1/63] GetFair | hatexplain | seed=123
>>> Command: python3 src_script/train/train_baseline_getfair.py --dataset hatexplain --seed 123 --lambda_gf 0.5 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 02:07:50 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] GetFair_hatexplain_seed123_0315_0207
[Data] Train: 15383 | Val: 1922 | Test: 1924
[Model] GetFair | lambda_gf=0.5

Epoch 1/6

[Train]:   0%|          | 0/962 [00:00<?, ?it/s]
[Train]:   0%|          | 0/962 [00:00<?, ?it/s, ce=0.6927, gf=0.0000, loss=0.6927]
[Train]:   0%|          | 1/962 [00:00<10:44,  1.49it/s, ce=0.6927, gf=0.0000, loss=0.6927]
[Train]:   0%|          | 1/962 [00:00<10:44,  1.49it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:   0%|          | 2/962 [00:00<07:09,  2.23it/s, ce=0.7012, gf=0.0000, loss=0.7012]
[Train]:   0%|          | 2/962 [00:01<07:09,  2.23it/s, ce=0.7074, gf=0.0000, loss=0.7074]
[Train]:   0%|          | 3/962 [00:01<05:24,  2.96it/s, ce=0.7074, gf=0.0000, loss=0.7074]
[Train]:   0%|          | 3/962 [00:01<05:24,  2.96it/s, ce=0.7077, gf=0.0000, loss=0.7077]
[Train]:   0%|          | 4/962 [00:01<04:45,  3.36it/s, ce=0.7077, gf=0.0000, loss=0.7077]
[Train]:   0%|          | 4/962 [00:01<04:45,  3.36it/s, ce=0.7202, gf=0.0000, loss=0.7202]
[Train]:   1%|          | 5/962 [00:01<04:14,  3.75it/s, ce=0.7202, gf=0.0000, loss=0.7202]
[Train]:   1%|          | 5/962 [00:01<04:14,  3.75it/s, ce=0.7174, gf=0.0000, loss=0.7174]
[Train]:   1%|          | 6/962 [00:01<04:03,  3.93it/s, ce=0.7174, gf=0.0000, loss=0.7174]
[Train]:   1%|          | 6/962 [00:02<04:03,  3.93it/s, ce=0.7189, gf=0.0000, loss=0.7189]
[Train]:   1%|          | 7/962 [00:02<03:48,  4.17it/s, ce=0.7189, gf=0.0000, loss=0.7189]
[Train]:   1%|          | 7/962 [00:02<03:48,  4.17it/s, ce=0.7143, gf=0.0000, loss=0.7143]
[Train]:   1%|          | 8/962 [00:02<03:46,  4.21it/s, ce=0.7143, gf=0.0000, loss=0.7143]
[Train]:   1%|          | 8/962 [00:02<03:46,  4.21it/s, ce=0.7111, gf=0.0000, loss=0.7111]
[Train]:   1%|          | 9/962 [00:02<03:37,  4.39it/s, ce=0.7111, gf=0.0000, loss=0.7111]
[Train]:   1%|          | 9/962 [00:02<03:37,  4.39it/s, ce=0.7076, gf=0.0000, loss=0.7076]
[Train]:   1%|          | 10/962 [00:02<03:38,  4.37it/s, ce=0.7076, gf=0.0000, loss=0.7076]
[Train]:   1%|          | 10/962 [00:02<03:38,  4.37it/s, ce=0.7115, gf=0.0000, loss=0.7115]
[Train]:   1%|          | 11/962 [00:02<03:31,  4.50it/s, ce=0.7115, gf=0.0000, loss=0.7115]
[Train]:   1%|          | 11/962 [00:03<03:31,  4.50it/s, ce=0.7090, gf=0.0000, loss=0.7090]
[Train]:   1%|          | 12/962 [00:03<03:35,  4.40it/s, ce=0.7090, gf=0.0000, loss=0.7090]
[Train]:   1%|          | 12/962 [00:03<03:35,  4.40it/s, ce=0.7095, gf=0.0000, loss=0.7095]
[Train]:   1%|▏         | 13/962 [00:03<03:29,  4.53it/s, ce=0.7095, gf=0.0000, loss=0.7095]
[Train]:   1%|▏         | 13/962 [00:03<03:29,  4.53it/s, ce=0.7132, gf=0.0000, loss=0.7132]
[Train]:   1%|▏         | 14/962 [00:03<03:32,  4.45it/s, ce=0.7132, gf=0.0000, loss=0.7132]
[Train]:   1%|▏         | 14/962 [00:03<03:32,  4.45it/s, ce=0.7135, gf=0.0000, loss=0.7135]
[Train]:   2%|▏         | 15/962 [00:03<03:27,  4.56it/s, ce=0.7135, gf=0.0000, loss=0.7135]
[Train]:   2%|▏         | 15/962 [00:04<03:27,  4.56it/s, ce=0.7123, gf=0.0000, loss=0.7123]
[Train]:   2%|▏         | 16/962 [00:04<03:32,  4.46it/s, ce=0.7123, gf=0.0000, loss=0.7123]
[Train]:   2%|▏         | 16/962 [00:04<03:32,  4.46it/s, ce=0.7113, gf=0.0000, loss=0.7113]
[Train]:   2%|▏         | 17/962 [00:04<03:29,  4.50it/s, ce=0.7113, gf=0.0000, loss=0.7113]
[Train]:   2%|▏         | 17/962 [00:04<03:29,  4.50it/s, ce=0.7120, gf=0.0000, loss=0.7120]
[Train]:   2%|▏         | 18/962 [00:04<03:32,  4.45it/s, ce=0.7120, gf=0.0000, loss=0.7120]
[Train]:   2%|▏         | 18/962 [00:04<03:32,  4.45it/s, ce=0.7107, gf=0.0000, loss=0.7107]
[Train]:   2%|▏         | 19/962 [00:04<03:26,  4.57it/s, ce=0.7107, gf=0.0000, loss=0.7107]
[Train]:   2%|▏         | 19/962 [00:04<03:26,  4.57it/s, ce=0.7109, gf=0.0000, loss=0.7109]
[Train]:   2%|▏         | 20/962 [00:04<03:29,  4.49it/s, ce=0.7109, gf=0.0000, loss=0.7109]
[Train]:   2%|▏         | 20/962 [00:05<03:29,  4.49it/s, ce=0.7125, gf=0.0000, loss=0.7125]
[Train]:   2%|▏         | 21/962 [00:05<03:27,  4.53it/s, ce=0.7125, gf=0.0000, loss=0.7125]
[Train]:   2%|▏         | 21/962 [00:05<03:27,  4.53it/s, ce=0.7136, gf=0.0000, loss=0.7136]
