
>>> [1/63] EAR | toxigen | seed=123
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset toxigen --seed 123 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 04:32:40 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_toxigen_seed123_0315_0432
[Data] Train: 7168 | Val: 896 | Test: 896
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   0%|          | 0/448 [00:00<?, ?it/s, ce=0.6793, ear=-1.9472, loss=0.4846]
[Train]:   0%|          | 1/448 [00:00<06:52,  1.08it/s, ce=0.6793, ear=-1.9472, loss=0.4846]
[Train]:   0%|          | 1/448 [00:01<06:52,  1.08it/s, ce=0.6596, ear=-1.9058, loss=0.4691]
[Train]:   0%|          | 2/448 [00:01<03:31,  2.11it/s, ce=0.6596, ear=-1.9058, loss=0.4691]
[Train]:   0%|          | 2/448 [00:01<03:31,  2.11it/s, ce=0.6809, ear=-1.9104, loss=0.4898]
[Train]:   1%|          | 3/448 [00:01<02:15,  3.28it/s, ce=0.6809, ear=-1.9104, loss=0.4898]
[Train]:   1%|          | 3/448 [00:01<02:15,  3.28it/s, ce=0.6962, ear=-1.8655, loss=0.5096]
[Train]:   1%|          | 4/448 [00:01<01:44,  4.26it/s, ce=0.6962, ear=-1.8655, loss=0.5096]
[Train]:   1%|          | 4/448 [00:01<01:44,  4.26it/s, ce=0.7120, ear=-1.8624, loss=0.5258]
[Train]:   1%|          | 4/448 [00:01<01:44,  4.26it/s, ce=0.7100, ear=-1.8771, loss=0.5223]
[Train]:   1%|▏         | 6/448 [00:01<01:15,  5.85it/s, ce=0.7100, ear=-1.8771, loss=0.5223]
[Train]:   1%|▏         | 6/448 [00:01<01:15,  5.85it/s, ce=0.7101, ear=-1.8948, loss=0.5206]
[Train]:   1%|▏         | 6/448 [00:01<01:15,  5.85it/s, ce=0.7052, ear=-1.8900, loss=0.5162]
[Train]:   2%|▏         | 8/448 [00:01<01:04,  6.87it/s, ce=0.7052, ear=-1.8900, loss=0.5162]
[Train]:   2%|▏         | 8/448 [00:01<01:04,  6.87it/s, ce=0.7067, ear=-1.8998, loss=0.5167]
[Train]:   2%|▏         | 8/448 [00:01<01:04,  6.87it/s, ce=0.7088, ear=-1.9094, loss=0.5178]
[Train]:   2%|▏         | 10/448 [00:01<00:57,  7.56it/s, ce=0.7088, ear=-1.9094, loss=0.5178]
[Train]:   2%|▏         | 10/448 [00:02<00:57,  7.56it/s, ce=0.7071, ear=-1.9082, loss=0.5163]
[Train]:   2%|▏         | 10/448 [00:02<00:57,  7.56it/s, ce=0.7058, ear=-1.9123, loss=0.5145]
[Train]:   3%|▎         | 12/448 [00:02<00:54,  8.00it/s, ce=0.7058, ear=-1.9123, loss=0.5145]
[Train]:   3%|▎         | 12/448 [00:02<00:54,  8.00it/s, ce=0.7100, ear=-1.9063, loss=0.5194]
[Train]:   3%|▎         | 13/448 [00:02<00:52,  8.26it/s, ce=0.7100, ear=-1.9063, loss=0.5194]
[Train]:   3%|▎         | 13/448 [00:02<00:52,  8.26it/s, ce=0.7070, ear=-1.9142, loss=0.5156]
[Train]:   3%|▎         | 14/448 [00:02<00:53,  8.09it/s, ce=0.7070, ear=-1.9142, loss=0.5156]
[Train]:   3%|▎         | 14/448 [00:02<00:53,  8.09it/s, ce=0.7077, ear=-1.9153, loss=0.5161]
[Train]:   3%|▎         | 15/448 [00:02<00:51,  8.43it/s, ce=0.7077, ear=-1.9153, loss=0.5161]
[Train]:   3%|▎         | 15/448 [00:02<00:51,  8.43it/s, ce=0.7077, ear=-1.9224, loss=0.5154]
[Train]:   4%|▎         | 16/448 [00:02<00:51,  8.33it/s, ce=0.7077, ear=-1.9224, loss=0.5154]
[Train]:   4%|▎         | 16/448 [00:02<00:51,  8.33it/s, ce=0.7080, ear=-1.9140, loss=0.5166]
[Train]:   4%|▎         | 16/448 [00:02<00:51,  8.33it/s, ce=0.7059, ear=-1.9138, loss=0.5145]
[Train]:   4%|▍         | 18/448 [00:02<00:49,  8.62it/s, ce=0.7059, ear=-1.9138, loss=0.5145]
[Train]:   4%|▍         | 18/448 [00:02<00:49,  8.62it/s, ce=0.7054, ear=-1.9119, loss=0.5142]
[Train]:   4%|▍         | 19/448 [00:02<00:48,  8.87it/s, ce=0.7054, ear=-1.9119, loss=0.5142]
[Train]:   4%|▍         | 19/448 [00:03<00:48,  8.87it/s, ce=0.7053, ear=-1.9117, loss=0.5141]
[Train]:   4%|▍         | 20/448 [00:03<00:50,  8.42it/s, ce=0.7053, ear=-1.9117, loss=0.5141]
[Train]:   4%|▍         | 20/448 [00:03<00:50,  8.42it/s, ce=0.7042, ear=-1.9094, loss=0.5133]
[Train]:   5%|▍         | 21/448 [00:03<00:48,  8.77it/s, ce=0.7042, ear=-1.9094, loss=0.5133]
[Train]:   5%|▍         | 21/448 [00:03<00:48,  8.77it/s, ce=0.7037, ear=-1.9133, loss=0.5124]
[Train]:   5%|▍         | 22/448 [00:03<00:50,  8.48it/s, ce=0.7037, ear=-1.9133, loss=0.5124]
[Train]:   5%|▍         | 22/448 [00:03<00:50,  8.48it/s, ce=0.7062, ear=-1.9140, loss=0.5148]
[Train]:   5%|▌         | 23/448 [00:03<00:48,  8.70it/s, ce=0.7062, ear=-1.9140, loss=0.5148]
[Train]:   5%|▌         | 23/448 [00:03<00:48,  8.70it/s, ce=0.7041, ear=-1.9125, loss=0.5128]
[Train]:   5%|▌         | 24/448 [00:03<00:50,  8.44it/s, ce=0.7041, ear=-1.9125, loss=0.5128]
[Train]:   5%|▌         | 24/448 [00:03<00:50,  8.44it/s, ce=0.7036, ear=-1.9104, loss=0.5126]
[Train]:   5%|▌         | 24/448 [00:03<00:50,  8.44it/s, ce=0.7045, ear=-1.9142, loss=0.5131]
[Train]:   6%|▌         | 26/448 [00:03<00:47,  8.85it/s, ce=0.7045, ear=-1.9142, loss=0.5131]
[Train]:   6%|▌         | 26/448 [00:03<00:47,  8.85it/s, ce=0.7030, ear=-1.9133, loss=0.5116]
[Train]:   6%|▌         | 26/448 [00:04<00:47,  8.85it/s, ce=0.7035, ear=-1.9134, loss=0.5121]
[Train]:   6%|▋         | 28/448 [00:04<00:45,  9.21it/s, ce=0.7035, ear=-1.9134, loss=0.5121]
[Train]:   6%|▋         | 28/448 [00:04<00:45,  9.21it/s, ce=0.7067, ear=-1.9127, loss=0.5154]
[Train]:   6%|▋         | 28/448 [00:04<00:45,  9.21it/s, ce=0.7076, ear=-1.9160, loss=0.5160]
[Train]:   7%|▋         | 30/448 [00:04<00:44,  9.33it/s, ce=0.7076, ear=-1.9160, loss=0.5160]
[Train]:   7%|▋         | 30/448 [00:04<00:44,  9.33it/s, ce=0.7068, ear=-1.9164, loss=0.5152]
[Train]:   7%|▋         | 30/448 [00:04<00:44,  9.33it/s, ce=0.7051, ear=-1.9185, loss=0.5132]
[Train]:   7%|▋         | 32/448 [00:04<00:44,  9.25it/s, ce=0.7051, ear=-1.9185, loss=0.5132]
[Train]:   7%|▋         | 32/448 [00:04<00:44,  9.25it/s, ce=0.7051, ear=-1.9207, loss=0.5131]
[Train]:   7%|▋         | 32/448 [00:04<00:44,  9.25it/s, ce=0.7047, ear=-1.9231, loss=0.5124]
[Train]:   8%|▊         | 34/448 [00:04<00:44,  9.35it/s, ce=0.7047, ear=-1.9231, loss=0.5124]
