
>>> [1/63] EAR | hatexplain | seed=42
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset hatexplain --seed 42 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 00:45:51 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_hatexplain_seed42_0315_0045
[Data] Train: 15383 | Val: 1922 | Test: 1924
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/962 [00:00<?, ?it/s]
[Train]:   0%|          | 0/962 [00:00<?, ?it/s, ce=0.8344, ear=-2.0233, loss=0.6321]
[Train]:   0%|          | 1/962 [00:00<12:55,  1.24it/s, ce=0.8344, ear=-2.0233, loss=0.6321]
[Train]:   0%|          | 1/962 [00:00<12:55,  1.24it/s, ce=0.7532, ear=-1.9681, loss=0.5564]
[Train]:   0%|          | 2/962 [00:00<06:44,  2.37it/s, ce=0.7532, ear=-1.9681, loss=0.5564]
[Train]:   0%|          | 2/962 [00:01<06:44,  2.37it/s, ce=0.7358, ear=-1.9785, loss=0.5379]
[Train]:   0%|          | 2/962 [00:01<06:44,  2.37it/s, ce=0.7382, ear=-1.9852, loss=0.5396]
[Train]:   0%|          | 4/962 [00:01<03:27,  4.62it/s, ce=0.7382, ear=-1.9852, loss=0.5396]
[Train]:   0%|          | 4/962 [00:01<03:27,  4.62it/s, ce=0.7248, ear=-1.9633, loss=0.5284]
[Train]:   0%|          | 4/962 [00:01<03:27,  4.62it/s, ce=0.7382, ear=-1.9759, loss=0.5406]
[Train]:   1%|          | 6/962 [00:01<02:31,  6.32it/s, ce=0.7382, ear=-1.9759, loss=0.5406]
[Train]:   1%|          | 6/962 [00:01<02:31,  6.32it/s, ce=0.7343, ear=-2.0021, loss=0.5341]
[Train]:   1%|          | 6/962 [00:01<02:31,  6.32it/s, ce=0.7435, ear=-2.0009, loss=0.5435]
[Train]:   1%|          | 8/962 [00:01<02:07,  7.51it/s, ce=0.7435, ear=-2.0009, loss=0.5435]
[Train]:   1%|          | 8/962 [00:01<02:07,  7.51it/s, ce=0.7501, ear=-2.0063, loss=0.5495]
[Train]:   1%|          | 8/962 [00:01<02:07,  7.51it/s, ce=0.7500, ear=-2.0034, loss=0.5497]
[Train]:   1%|          | 10/962 [00:01<01:53,  8.40it/s, ce=0.7500, ear=-2.0034, loss=0.5497]
[Train]:   1%|          | 10/962 [00:01<01:53,  8.40it/s, ce=0.7456, ear=-1.9872, loss=0.5469]
[Train]:   1%|          | 10/962 [00:01<01:53,  8.40it/s, ce=0.7414, ear=-1.9891, loss=0.5425]
[Train]:   1%|          | 12/962 [00:01<01:45,  9.01it/s, ce=0.7414, ear=-1.9891, loss=0.5425]
[Train]:   1%|          | 12/962 [00:01<01:45,  9.01it/s, ce=0.7433, ear=-1.9904, loss=0.5442]
[Train]:   1%|          | 12/962 [00:02<01:45,  9.01it/s, ce=0.7398, ear=-1.9938, loss=0.5405]
[Train]:   1%|▏         | 14/962 [00:02<01:41,  9.33it/s, ce=0.7398, ear=-1.9938, loss=0.5405]
[Train]:   1%|▏         | 14/962 [00:02<01:41,  9.33it/s, ce=0.7351, ear=-1.9905, loss=0.5361]
[Train]:   1%|▏         | 14/962 [00:02<01:41,  9.33it/s, ce=0.7262, ear=-1.9911, loss=0.5271]
[Train]:   2%|▏         | 16/962 [00:02<01:38,  9.64it/s, ce=0.7262, ear=-1.9911, loss=0.5271]
[Train]:   2%|▏         | 16/962 [00:02<01:38,  9.64it/s, ce=0.7270, ear=-1.9991, loss=0.5271]
[Train]:   2%|▏         | 16/962 [00:02<01:38,  9.64it/s, ce=0.7243, ear=-1.9969, loss=0.5246]
[Train]:   2%|▏         | 18/962 [00:02<01:34,  9.96it/s, ce=0.7243, ear=-1.9969, loss=0.5246]
[Train]:   2%|▏         | 18/962 [00:02<01:34,  9.96it/s, ce=0.7206, ear=-1.9994, loss=0.5207]
[Train]:   2%|▏         | 18/962 [00:02<01:34,  9.96it/s, ce=0.7231, ear=-1.9951, loss=0.5235]
[Train]:   2%|▏         | 20/962 [00:02<01:33, 10.03it/s, ce=0.7231, ear=-1.9951, loss=0.5235]
[Train]:   2%|▏         | 20/962 [00:02<01:33, 10.03it/s, ce=0.7223, ear=-1.9953, loss=0.5228]
[Train]:   2%|▏         | 20/962 [00:02<01:33, 10.03it/s, ce=0.7235, ear=-1.9929, loss=0.5242]
[Train]:   2%|▏         | 22/962 [00:02<01:32, 10.15it/s, ce=0.7235, ear=-1.9929, loss=0.5242]
[Train]:   2%|▏         | 22/962 [00:02<01:32, 10.15it/s, ce=0.7300, ear=-1.9902, loss=0.5310]
[Train]:   2%|▏         | 22/962 [00:03<01:32, 10.15it/s, ce=0.7279, ear=-1.9952, loss=0.5284]
[Train]:   2%|▏         | 24/962 [00:03<01:32, 10.18it/s, ce=0.7279, ear=-1.9952, loss=0.5284]
[Train]:   2%|▏         | 24/962 [00:03<01:32, 10.18it/s, ce=0.7321, ear=-1.9849, loss=0.5336]
[Train]:   2%|▏         | 24/962 [00:03<01:32, 10.18it/s, ce=0.7376, ear=-1.9834, loss=0.5393]
[Train]:   3%|▎         | 26/962 [00:03<01:31, 10.26it/s, ce=0.7376, ear=-1.9834, loss=0.5393]
[Train]:   3%|▎         | 26/962 [00:03<01:31, 10.26it/s, ce=0.7352, ear=-1.9926, loss=0.5359]
[Train]:   3%|▎         | 26/962 [00:03<01:31, 10.26it/s, ce=0.7376, ear=-1.9932, loss=0.5382]
[Train]:   3%|▎         | 28/962 [00:03<01:30, 10.31it/s, ce=0.7376, ear=-1.9932, loss=0.5382]
[Train]:   3%|▎         | 28/962 [00:03<01:30, 10.31it/s, ce=0.7353, ear=-1.9964, loss=0.5356]
[Train]:   3%|▎         | 28/962 [00:03<01:30, 10.31it/s, ce=0.7331, ear=-1.9951, loss=0.5336]
[Train]:   3%|▎         | 30/962 [00:03<01:29, 10.41it/s, ce=0.7331, ear=-1.9951, loss=0.5336]
[Train]:   3%|▎         | 30/962 [00:03<01:29, 10.41it/s, ce=0.7290, ear=-1.9932, loss=0.5297]
[Train]:   3%|▎         | 30/962 [00:03<01:29, 10.41it/s, ce=0.7310, ear=-1.9923, loss=0.5317]
[Train]:   3%|▎         | 32/962 [00:03<01:30, 10.32it/s, ce=0.7310, ear=-1.9923, loss=0.5317]
[Train]:   3%|▎         | 32/962 [00:03<01:30, 10.32it/s, ce=0.7342, ear=-1.9952, loss=0.5347]
[Train]:   3%|▎         | 32/962 [00:04<01:30, 10.32it/s, ce=0.7350, ear=-1.9931, loss=0.5356]
[Train]:   4%|▎         | 34/962 [00:04<01:29, 10.38it/s, ce=0.7350, ear=-1.9931, loss=0.5356]
[Train]:   4%|▎         | 34/962 [00:04<01:29, 10.38it/s, ce=0.7349, ear=-1.9936, loss=0.5355]
[Train]:   4%|▎         | 34/962 [00:04<01:29, 10.38it/s, ce=0.7363, ear=-1.9924, loss=0.5371]
[Train]:   4%|▎         | 36/962 [00:04<01:28, 10.49it/s, ce=0.7363, ear=-1.9924, loss=0.5371]
[Train]:   4%|▎         | 36/962 [00:04<01:28, 10.49it/s, ce=0.7352, ear=-1.9935, loss=0.5358]
[Train]:   4%|▎         | 36/962 [00:04<01:28, 10.49it/s, ce=0.7359, ear=-1.9969, loss=0.5362]
[Train]:   4%|▍         | 38/962 [00:04<01:27, 10.53it/s, ce=0.7359, ear=-1.9969, loss=0.5362]
