
>>> [1/63] GetFair | toxigen | seed=2024
>>> Command: python3 src_script/train/train_baseline_getfair.py --dataset toxigen --seed 2024 --lambda_gf 0.5 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 05:11:32 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] GetFair_toxigen_seed2024_0315_0511
[Data] Train: 7168 | Val: 896 | Test: 896
[Model] GetFair | lambda_gf=0.5

Epoch 1/6

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   0%|          | 0/448 [00:00<?, ?it/s, ce=0.6757, gf=0.0000, loss=0.6758]
[Train]:   0%|          | 1/448 [00:00<04:53,  1.52it/s, ce=0.6757, gf=0.0000, loss=0.6758]
[Train]:   0%|          | 1/448 [00:00<04:53,  1.52it/s, ce=0.6399, gf=0.0000, loss=0.6399]
[Train]:   0%|          | 2/448 [00:00<03:16,  2.27it/s, ce=0.6399, gf=0.0000, loss=0.6399]
[Train]:   0%|          | 2/448 [00:01<03:16,  2.27it/s, ce=0.6558, gf=0.0000, loss=0.6558]
[Train]:   1%|          | 3/448 [00:01<02:28,  3.00it/s, ce=0.6558, gf=0.0000, loss=0.6558]
[Train]:   1%|          | 3/448 [00:01<02:28,  3.00it/s, ce=0.6712, gf=0.0000, loss=0.6712]
[Train]:   1%|          | 4/448 [00:01<02:09,  3.43it/s, ce=0.6712, gf=0.0000, loss=0.6712]
[Train]:   1%|          | 4/448 [00:01<02:09,  3.43it/s, ce=0.6897, gf=0.0000, loss=0.6897]
[Train]:   1%|          | 5/448 [00:01<01:54,  3.86it/s, ce=0.6897, gf=0.0000, loss=0.6897]
[Train]:   1%|          | 5/448 [00:01<01:54,  3.86it/s, ce=0.6946, gf=0.0000, loss=0.6946]
[Train]:   1%|▏         | 6/448 [00:01<01:49,  4.02it/s, ce=0.6946, gf=0.0000, loss=0.6946]
[Train]:   1%|▏         | 6/448 [00:02<01:49,  4.02it/s, ce=0.6915, gf=0.0000, loss=0.6915]
[Train]:   2%|▏         | 7/448 [00:02<01:43,  4.27it/s, ce=0.6915, gf=0.0000, loss=0.6915]
[Train]:   2%|▏         | 7/448 [00:02<01:43,  4.27it/s, ce=0.6828, gf=0.0000, loss=0.6828]
[Train]:   2%|▏         | 8/448 [00:02<01:42,  4.29it/s, ce=0.6828, gf=0.0000, loss=0.6828]
[Train]:   2%|▏         | 8/448 [00:02<01:42,  4.29it/s, ce=0.6913, gf=0.0000, loss=0.6914]
[Train]:   2%|▏         | 9/448 [00:02<01:38,  4.46it/s, ce=0.6913, gf=0.0000, loss=0.6914]
[Train]:   2%|▏         | 9/448 [00:02<01:38,  4.46it/s, ce=0.6899, gf=0.0000, loss=0.6899]
[Train]:   2%|▏         | 10/448 [00:02<01:38,  4.43it/s, ce=0.6899, gf=0.0000, loss=0.6899]
[Train]:   2%|▏         | 10/448 [00:02<01:38,  4.43it/s, ce=0.6942, gf=0.0000, loss=0.6942]
[Train]:   2%|▏         | 11/448 [00:02<01:35,  4.57it/s, ce=0.6942, gf=0.0000, loss=0.6942]
[Train]:   2%|▏         | 11/448 [00:03<01:35,  4.57it/s, ce=0.6977, gf=0.0000, loss=0.6977]
[Train]:   3%|▎         | 12/448 [00:03<01:36,  4.50it/s, ce=0.6977, gf=0.0000, loss=0.6977]
[Train]:   3%|▎         | 12/448 [00:03<01:36,  4.50it/s, ce=0.6930, gf=0.0000, loss=0.6930]
[Train]:   3%|▎         | 13/448 [00:03<01:34,  4.62it/s, ce=0.6930, gf=0.0000, loss=0.6930]
[Train]:   3%|▎         | 13/448 [00:03<01:34,  4.62it/s, ce=0.6936, gf=0.0000, loss=0.6936]
[Train]:   3%|▎         | 14/448 [00:03<01:35,  4.54it/s, ce=0.6936, gf=0.0000, loss=0.6936]
[Train]:   3%|▎         | 14/448 [00:03<01:35,  4.54it/s, ce=0.7011, gf=0.0000, loss=0.7011]
[Train]:   3%|▎         | 15/448 [00:03<01:33,  4.65it/s, ce=0.7011, gf=0.0000, loss=0.7011]
[Train]:   3%|▎         | 15/448 [00:03<01:33,  4.65it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:   4%|▎         | 16/448 [00:03<01:34,  4.55it/s, ce=0.7039, gf=0.0000, loss=0.7039]
[Train]:   4%|▎         | 16/448 [00:04<01:34,  4.55it/s, ce=0.7061, gf=0.0000, loss=0.7061]
[Train]:   4%|▍         | 17/448 [00:04<01:32,  4.66it/s, ce=0.7061, gf=0.0000, loss=0.7061]
[Train]:   4%|▍         | 17/448 [00:04<01:32,  4.66it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   4%|▍         | 18/448 [00:04<01:34,  4.57it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   4%|▍         | 18/448 [00:04<01:34,  4.57it/s, ce=0.7073, gf=0.0000, loss=0.7073]
[Train]:   4%|▍         | 19/448 [00:04<01:32,  4.65it/s, ce=0.7073, gf=0.0000, loss=0.7073]
