
>>> [1/63] GetFair | dynahate | seed=2024
>>> Command: python3 src_script/train/train_baseline_getfair.py --dataset dynahate --seed 2024 --lambda_gf 0.5 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 07:12:21 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] GetFair_dynahate_seed2024_0315_0712
[Data] Train: 8844 | Val: 1091 | Test: 1111
[Model] GetFair | lambda_gf=0.5

Epoch 1/6

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:   0%|          | 0/553 [00:00<?, ?it/s, ce=0.7234, gf=0.0000, loss=0.7234]
[Train]:   0%|          | 1/553 [00:00<06:04,  1.52it/s, ce=0.7234, gf=0.0000, loss=0.7234]
[Train]:   0%|          | 1/553 [00:00<06:04,  1.52it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:   0%|          | 2/553 [00:00<04:03,  2.26it/s, ce=0.7040, gf=0.0000, loss=0.7040]
[Train]:   0%|          | 2/553 [00:01<04:03,  2.26it/s, ce=0.7031, gf=0.0000, loss=0.7032]
[Train]:   1%|          | 3/553 [00:01<03:02,  3.01it/s, ce=0.7031, gf=0.0000, loss=0.7032]
[Train]:   1%|          | 3/553 [00:01<03:02,  3.01it/s, ce=0.7045, gf=0.0000, loss=0.7045]
[Train]:   1%|          | 4/553 [00:01<02:40,  3.43it/s, ce=0.7045, gf=0.0000, loss=0.7045]
[Train]:   1%|          | 4/553 [00:01<02:40,  3.43it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   1%|          | 5/553 [00:01<02:22,  3.85it/s, ce=0.7068, gf=0.0000, loss=0.7068]
[Train]:   1%|          | 5/553 [00:01<02:22,  3.85it/s, ce=0.7194, gf=0.0000, loss=0.7194]
[Train]:   1%|          | 6/553 [00:01<02:16,  4.02it/s, ce=0.7194, gf=0.0000, loss=0.7194]
[Train]:   1%|          | 6/553 [00:02<02:16,  4.02it/s, ce=0.7163, gf=0.0000, loss=0.7163]
[Train]:   1%|▏         | 7/553 [00:02<02:07,  4.28it/s, ce=0.7163, gf=0.0000, loss=0.7163]
[Train]:   1%|▏         | 7/553 [00:02<02:07,  4.28it/s, ce=0.7300, gf=0.0000, loss=0.7300]
[Train]:   1%|▏         | 8/553 [00:02<02:07,  4.29it/s, ce=0.7300, gf=0.0000, loss=0.7300]
[Train]:   1%|▏         | 8/553 [00:02<02:07,  4.29it/s, ce=0.7252, gf=0.0000, loss=0.7252]
[Train]:   2%|▏         | 9/553 [00:02<02:02,  4.46it/s, ce=0.7252, gf=0.0000, loss=0.7252]
[Train]:   2%|▏         | 9/553 [00:02<02:02,  4.46it/s, ce=0.7194, gf=0.0000, loss=0.7194]
[Train]:   2%|▏         | 10/553 [00:02<02:02,  4.43it/s, ce=0.7194, gf=0.0000, loss=0.7194]
[Train]:   2%|▏         | 10/553 [00:02<02:02,  4.43it/s, ce=0.7268, gf=0.0000, loss=0.7268]
[Train]:   2%|▏         | 11/553 [00:02<01:58,  4.57it/s, ce=0.7268, gf=0.0000, loss=0.7268]
[Train]:   2%|▏         | 11/553 [00:03<01:58,  4.57it/s, ce=0.7206, gf=0.0000, loss=0.7206]
[Train]:   2%|▏         | 12/553 [00:03<02:00,  4.51it/s, ce=0.7206, gf=0.0000, loss=0.7206]
[Train]:   2%|▏         | 12/553 [00:03<02:00,  4.51it/s, ce=0.7217, gf=0.0000, loss=0.7217]
[Train]:   2%|▏         | 13/553 [00:03<01:57,  4.61it/s, ce=0.7217, gf=0.0000, loss=0.7217]
[Train]:   2%|▏         | 13/553 [00:03<01:57,  4.61it/s, ce=0.7227, gf=0.0000, loss=0.7227]
[Train]:   3%|▎         | 14/553 [00:03<01:58,  4.54it/s, ce=0.7227, gf=0.0000, loss=0.7227]
[Train]:   3%|▎         | 14/553 [00:03<01:58,  4.54it/s, ce=0.7204, gf=0.0000, loss=0.7204]
[Train]:   3%|▎         | 15/553 [00:03<01:55,  4.65it/s, ce=0.7204, gf=0.0000, loss=0.7204]
[Train]:   3%|▎         | 15/553 [00:03<01:55,  4.65it/s, ce=0.7205, gf=0.0000, loss=0.7205]
[Train]:   3%|▎         | 16/553 [00:03<01:58,  4.54it/s, ce=0.7205, gf=0.0000, loss=0.7205]
[Train]:   3%|▎         | 16/553 [00:04<01:58,  4.54it/s, ce=0.7204, gf=0.0000, loss=0.7204]
[Train]:   3%|▎         | 17/553 [00:04<01:55,  4.64it/s, ce=0.7204, gf=0.0000, loss=0.7204]
[Train]:   3%|▎         | 17/553 [00:04<01:55,  4.64it/s, ce=0.7173, gf=0.0000, loss=0.7173]
[Train]:   3%|▎         | 18/553 [00:04<01:57,  4.55it/s, ce=0.7173, gf=0.0000, loss=0.7173]
[Train]:   3%|▎         | 18/553 [00:04<01:57,  4.55it/s, ce=0.7182, gf=0.0000, loss=0.7182]
[Train]:   3%|▎         | 19/553 [00:04<01:54,  4.66it/s, ce=0.7182, gf=0.0000, loss=0.7182]
[Train]:   3%|▎         | 19/553 [00:04<01:54,  4.66it/s, ce=0.7168, gf=0.0000, loss=0.7168]
[Train]:   4%|▎         | 20/553 [00:04<01:56,  4.57it/s, ce=0.7168, gf=0.0000, loss=0.7168]
[Train]:   4%|▎         | 20/553 [00:05<01:56,  4.57it/s, ce=0.7145, gf=0.0000, loss=0.7145]
[Train]:   4%|▍         | 21/553 [00:05<01:55,  4.61it/s, ce=0.7145, gf=0.0000, loss=0.7145]
[Train]:   4%|▍         | 21/553 [00:05<01:55,  4.61it/s, ce=0.7133, gf=0.0000, loss=0.7133]
[Train]:   4%|▍         | 22/553 [00:05<01:58,  4.47it/s, ce=0.7133, gf=0.0000, loss=0.7133]
[Train]:   4%|▍         | 22/553 [00:05<01:58,  4.47it/s, ce=0.7146, gf=0.0000, loss=0.7146]
[Train]:   4%|▍         | 23/553 [00:05<01:55,  4.60it/s, ce=0.7146, gf=0.0000, loss=0.7146]
[Train]:   4%|▍         | 23/553 [00:05<01:55,  4.60it/s, ce=0.7128, gf=0.0000, loss=0.7128]
[Train]:   4%|▍         | 24/553 [00:05<01:57,  4.51it/s, ce=0.7128, gf=0.0000, loss=0.7128]
[Train]:   4%|▍         | 24/553 [00:05<01:57,  4.51it/s, ce=0.7171, gf=0.0000, loss=0.7171]
[Train]:   5%|▍         | 25/553 [00:05<01:54,  4.62it/s, ce=0.7171, gf=0.0000, loss=0.7171]
[Train]:   5%|▍         | 25/553 [00:06<01:54,  4.62it/s, ce=0.7187, gf=0.0000, loss=0.7188]
[Train]:   5%|▍         | 26/553 [00:06<01:56,  4.51it/s, ce=0.7187, gf=0.0000, loss=0.7188]
[Train]:   5%|▍         | 26/553 [00:06<01:56,  4.51it/s, ce=0.7220, gf=0.0000, loss=0.7220]
[Train]:   5%|▍         | 27/553 [00:06<01:53,  4.63it/s, ce=0.7220, gf=0.0000, loss=0.7220]
[Train]:   5%|▍         | 27/553 [00:06<01:53,  4.63it/s, ce=0.7195, gf=0.0000, loss=0.7195]
[Train]:   5%|▌         | 28/553 [00:06<01:55,  4.55it/s, ce=0.7195, gf=0.0000, loss=0.7195]
[Train]:   5%|▌         | 28/553 [00:06<01:55,  4.55it/s, ce=0.7159, gf=0.0000, loss=0.7159]
[Train]:   5%|▌         | 29/553 [00:06<01:52,  4.65it/s, ce=0.7159, gf=0.0000, loss=0.7159]
[Train]:   5%|▌         | 29/553 [00:07<01:52,  4.65it/s, ce=0.7167, gf=0.0000, loss=0.7167]
[Train]:   5%|▌         | 30/553 [00:07<01:55,  4.54it/s, ce=0.7167, gf=0.0000, loss=0.7167]
[Train]:   5%|▌         | 30/553 [00:07<01:55,  4.54it/s, ce=0.7152, gf=0.0000, loss=0.7152]
[Train]:   6%|▌         | 31/553 [00:07<01:52,  4.63it/s, ce=0.7152, gf=0.0000, loss=0.7152]
[Train]:   6%|▌         | 31/553 [00:07<01:52,  4.63it/s, ce=0.7166, gf=0.0000, loss=0.7166]
[Train]:   6%|▌         | 32/553 [00:07<01:54,  4.54it/s, ce=0.7166, gf=0.0000, loss=0.7166]
[Train]:   6%|▌         | 32/553 [00:07<01:54,  4.54it/s, ce=0.7153, gf=0.0000, loss=0.7153]
[Train]:   6%|▌         | 33/553 [00:07<01:51,  4.65it/s, ce=0.7153, gf=0.0000, loss=0.7153]
[Train]:   6%|▌         | 33/553 [00:07<01:51,  4.65it/s, ce=0.7142, gf=0.0000, loss=0.7142]
[Train]:   6%|▌         | 34/553 [00:07<01:54,  4.54it/s, ce=0.7142, gf=0.0000, loss=0.7142]
[Train]:   6%|▌         | 34/553 [00:08<01:54,  4.54it/s, ce=0.7140, gf=0.0000, loss=0.7140]
[Train]:   6%|▋         | 35/553 [00:08<01:52,  4.62it/s, ce=0.7140, gf=0.0000, loss=0.7140]
[Train]:   6%|▋         | 35/553 [00:08<01:52,  4.62it/s, ce=0.7150, gf=0.0000, loss=0.7150]
[Train]:   7%|▋         | 36/553 [00:08<01:53,  4.54it/s, ce=0.7150, gf=0.0000, loss=0.7150]
[Train]:   7%|▋         | 36/553 [00:08<01:53,  4.54it/s, ce=0.7147, gf=0.0000, loss=0.7147]
[Train]:   7%|▋         | 37/553 [00:08<01:51,  4.64it/s, ce=0.7147, gf=0.0000, loss=0.7147]
[Train]:   7%|▋         | 37/553 [00:08<01:51,  4.64it/s, ce=0.7124, gf=0.0000, loss=0.7124]
[Train]:   7%|▋         | 38/553 [00:08<01:53,  4.54it/s, ce=0.7124, gf=0.0000, loss=0.7124]
[Train]:   7%|▋         | 38/553 [00:08<01:53,  4.54it/s, ce=0.7116, gf=0.0000, loss=0.7116]
[Train]:   7%|▋         | 39/553 [00:08<01:51,  4.59it/s, ce=0.7116, gf=0.0000, loss=0.7116]
[Train]:   7%|▋         | 39/553 [00:09<01:51,  4.59it/s, ce=0.7117, gf=0.0000, loss=0.7117]
[Train]:   7%|▋         | 40/553 [00:09<01:53,  4.51it/s, ce=0.7117, gf=0.0000, loss=0.7117]
[Train]:   7%|▋         | 40/553 [00:09<01:53,  4.51it/s, ce=0.7113, gf=0.0000, loss=0.7113]
[Train]:   7%|▋         | 41/553 [00:09<01:51,  4.61it/s, ce=0.7113, gf=0.0000, loss=0.7113]
[Train]:   7%|▋         | 41/553 [00:09<01:51,  4.61it/s, ce=0.7108, gf=0.0000, loss=0.7108]
[Train]:   8%|▊         | 42/553 [00:09<01:53,  4.49it/s, ce=0.7108, gf=0.0000, loss=0.7108]
[Train]:   8%|▊         | 42/553 [00:09<01:53,  4.49it/s, ce=0.7120, gf=0.0000, loss=0.7120]
[Train]:   8%|▊         | 43/553 [00:09<01:51,  4.58it/s, ce=0.7120, gf=0.0000, loss=0.7120]
[Train]:   8%|▊         | 43/553 [00:10<01:51,  4.58it/s, ce=0.7118, gf=0.0000, loss=0.7119]
[Train]:   8%|▊         | 44/553 [00:10<01:53,  4.49it/s, ce=0.7118, gf=0.0000, loss=0.7119]
[Train]:   8%|▊         | 44/553 [00:10<01:53,  4.49it/s, ce=0.7105, gf=0.0000, loss=0.7105]
[Train]:   8%|▊         | 45/553 [00:10<01:51,  4.57it/s, ce=0.7105, gf=0.0000, loss=0.7105]
[Train]:   8%|▊         | 45/553 [00:10<01:51,  4.57it/s, ce=0.7108, gf=0.0000, loss=0.7108]
[Train]:   8%|▊         | 46/553 [00:10<01:53,  4.48it/s, ce=0.7108, gf=0.0000, loss=0.7108]
[Train]:   8%|▊         | 46/553 [00:10<01:53,  4.48it/s, ce=0.7114, gf=0.0000, loss=0.7114]
[Train]:   8%|▊         | 47/553 [00:10<01:50,  4.58it/s, ce=0.7114, gf=0.0000, loss=0.7114]
[Train]:   8%|▊         | 47/553 [00:10<01:50,  4.58it/s, ce=0.7121, gf=0.0000, loss=0.7121]
[Train]:   9%|▊         | 48/553 [00:10<01:52,  4.51it/s, ce=0.7121, gf=0.0000, loss=0.7121]
[Train]:   9%|▊         | 48/553 [00:11<01:52,  4.51it/s, ce=0.7121, gf=0.0000, loss=0.7122]
[Train]:   9%|▉         | 49/553 [00:11<01:48,  4.63it/s, ce=0.7121, gf=0.0000, loss=0.7122]
[Train]:   9%|▉         | 49/553 [00:11<01:48,  4.63it/s, ce=0.7122, gf=0.0000, loss=0.7122]
[Train]:   9%|▉         | 50/553 [00:11<01:50,  4.55it/s, ce=0.7122, gf=0.0000, loss=0.7122]
[Train]:   9%|▉         | 50/553 [00:11<01:50,  4.55it/s, ce=0.7122, gf=0.0000, loss=0.7122]
[Train]:   9%|▉         | 51/553 [00:11<01:48,  4.65it/s, ce=0.7122, gf=0.0000, loss=0.7122]
[Train]:   9%|▉         | 51/553 [00:11<01:48,  4.65it/s, ce=0.7126, gf=0.0000, loss=0.7126]
[Train]:   9%|▉         | 52/553 [00:11<01:51,  4.48it/s, ce=0.7126, gf=0.0000, loss=0.7126]
[Train]:   9%|▉         | 52/553 [00:12<01:51,  4.48it/s, ce=0.7136, gf=0.0000, loss=0.7136]
[Train]:  10%|▉         | 53/553 [00:12<01:48,  4.60it/s, ce=0.7136, gf=0.0000, loss=0.7136]
[Train]:  10%|▉         | 53/553 [00:12<01:48,  4.60it/s, ce=0.7128, gf=0.0000, loss=0.7128]
[Train]:  10%|▉         | 54/553 [00:12<01:50,  4.53it/s, ce=0.7128, gf=0.0000, loss=0.7128]
[Train]:  10%|▉         | 54/553 [00:12<01:50,  4.53it/s, ce=0.7121, gf=0.0000, loss=0.7121]
[Train]:  10%|▉         | 55/553 [00:12<01:47,  4.65it/s, ce=0.7121, gf=0.0000, loss=0.7121]
[Train]:  10%|▉         | 55/553 [00:12<01:47,  4.65it/s, ce=0.7115, gf=0.0000, loss=0.7116]
[Train]:  10%|█         | 56/553 [00:12<01:49,  4.53it/s, ce=0.7115, gf=0.0000, loss=0.7116]
[Train]:  10%|█         | 56/553 [00:12<01:49,  4.53it/s, ce=0.7116, gf=0.0000, loss=0.7116]
[Train]:  10%|█         | 57/553 [00:12<01:47,  4.63it/s, ce=0.7116, gf=0.0000, loss=0.7116]
[Train]:  10%|█         | 57/553 [00:13<01:47,  4.63it/s, ce=0.7111, gf=0.0000, loss=0.7111]
[Train]:  10%|█         | 58/553 [00:13<01:49,  4.54it/s, ce=0.7111, gf=0.0000, loss=0.7111]
[Train]:  10%|█         | 58/553 [00:13<01:49,  4.54it/s, ce=0.7104, gf=0.0000, loss=0.7104]
[Train]:  11%|█         | 59/553 [00:13<01:46,  4.63it/s, ce=0.7104, gf=0.0000, loss=0.7104]
[Train]:  11%|█         | 59/553 [00:13<01:46,  4.63it/s, ce=0.7105, gf=0.0000, loss=0.7105]
[Train]:  11%|█         | 60/553 [00:13<01:49,  4.52it/s, ce=0.7105, gf=0.0000, loss=0.7105]
[Train]:  11%|█         | 60/553 [00:13<01:49,  4.52it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:  11%|█         | 61/553 [00:13<01:46,  4.63it/s, ce=0.7099, gf=0.0000, loss=0.7099]
[Train]:  11%|█         | 61/553 [00:14<01:46,  4.63it/s, ce=0.7092, gf=0.0000, loss=0.7092]
[Train]:  11%|█         | 62/553 [00:14<01:47,  4.55it/s, ce=0.7092, gf=0.0000, loss=0.7092]
[Train]:  11%|█         | 62/553 [00:14<01:47,  4.55it/s, ce=0.7088, gf=0.0000, loss=0.7088]
[Train]:  11%|█▏        | 63/553 [00:14<01:45,  4.64it/s, ce=0.7088, gf=0.0000, loss=0.7088]
[Train]:  11%|█▏        | 63/553 [00:14<01:45,  4.64it/s, ce=0.7077, gf=0.0000, loss=0.7077]
[Train]:  12%|█▏        | 64/553 [00:14<01:47,  4.55it/s, ce=0.7077, gf=0.0000, loss=0.7077]
[Train]:  12%|█▏        | 64/553 [00:14<01:47,  4.55it/s, ce=0.7075, gf=0.0000, loss=0.7075]
[Train]:  12%|█▏        | 65/553 [00:14<01:45,  4.64it/s, ce=0.7075, gf=0.0000, loss=0.7075]
[Train]:  12%|█▏        | 65/553 [00:14<01:45,  4.64it/s, ce=0.7069, gf=0.0000, loss=0.7069]
[Train]:  12%|█▏        | 66/553 [00:14<01:46,  4.55it/s, ce=0.7069, gf=0.0000, loss=0.7069]
[Train]:  12%|█▏        | 66/553 [00:15<01:46,  4.55it/s, ce=0.7072, gf=0.0000, loss=0.7072]
[Train]:  12%|█▏        | 67/553 [00:15<01:44,  4.65it/s, ce=0.7072, gf=0.0000, loss=0.7072]
