threshold,f1,accuracy
0.05,0.46798836548427003,0.8236669473870839
0.1,0.5385011283107011,0.8708279774832676
0.15000000000000002,0.5863371705409129,0.8968684898719028
0.2,0.6213271064409418,0.9137449581135588
0.25,0.6491523639043909,0.9261557555072913
0.3,0.6663676124257036,0.9340676388457958
0.35000000000000003,0.6800047636060498,0.9404503346482869
0.4,0.6917122899754578,0.9457138424715217
0.45,0.6980969431735295,0.9495478923806568
0.5,0.7014852520744718,0.9525619431762776
0.55,0.69632778714359,0.9540911307122911
0.6000000000000001,0.6862956682595961,0.9549000487567041
0.6500000000000001,0.6694825765575502,0.9549111298258056
0.7000000000000001,0.6427285971377152,0.9538030229156509
0.7500000000000001,0.6097076867556839,0.9520632950667081
0.8,0.5699914586694504,0.9497916759008909
0.8500000000000001,0.5253832371092972,0.9471654625238243
0.9000000000000001,0.4592545799115603,0.943087629094455
0.9500000000000001,0.36236462093862815,0.9373697974380568
