threshold,f1,accuracy
0.05,0.5379900997878526,0.8696866273658083
0.1,0.6037874948163849,0.904713886795798
0.15000000000000002,0.6423820730584263,0.922543326980187
0.2,0.6685596570346862,0.9340343956384912
0.25,0.6874813799678245,0.9418797925623864
0.3,0.7006651884700665,0.9476419484951908
0.35000000000000003,0.7055046485184937,0.9512100527458889
0.4,0.7015375974162746,0.9528943752493241
0.45,0.6980593189307945,0.9543127520943221
0.5,0.6913711763810683,0.9550551837241257
0.55,0.6830194651052383,0.9556092371792031
0.6000000000000001,0.672437729685586,0.9555538318336954
0.6500000000000001,0.6572080060805675,0.9550219405168211
0.7000000000000001,0.6378783913460699,0.9540024821594787
0.7500000000000001,0.6147459615558163,0.9526949160054962
0.8,0.5925581395348837,0.9514649173352245
0.8500000000000001,0.5636346172317741,0.9496587030716723
0.9000000000000001,0.5243221690590112,0.9471211382474181
0.9500000000000001,0.46283074338513225,0.943309250476486
