threshold,f1,accuracy
0.05,0.5427464760611748,0.8731106777181863
0.1,0.5971468939428467,0.9020544302114268
0.15000000000000002,0.6339955402392053,0.9199725189486282
0.2,0.662370131673982,0.9326603430698994
0.25,0.6811011815510106,0.9410819555870751
0.3,0.6913834093683737,0.9467776251052702
0.35000000000000003,0.6942025040827436,0.9502016754576481
0.4,0.693628331298039,0.9527392402819024
0.45,0.688598807817098,0.9542684278179159
0.5,0.6762635450446888,0.9546451841673684
0.55,0.6555878687162443,0.9540689685740881
0.6000000000000001,0.6291211193703542,0.9530051859403396
0.6500000000000001,0.5953471331745741,0.9510438367093658
0.7000000000000001,0.5570129248444231,0.9487278932671425
0.7500000000000001,0.5135728542914172,0.9459908691990603
0.8,0.47296457426973276,0.9436195204113292
0.8500000000000001,0.4223253805462593,0.9407051992376224
0.9000000000000001,0.35659265971907567,0.9370595275032135
0.9500000000000001,0.26625089949628206,0.932206019236736
