threshold,f1,accuracy
0.05,0.5932131595048713,0.90422631975533
0.1,0.6198497019953355,0.9187203581401534
0.15000000000000002,0.6360478579698959,0.9268538628606888
0.2,0.6444942271239014,0.9314192633305262
0.25,0.6520102754047433,0.9354527724834892
0.3,0.6569379173880782,0.9385222286246176
0.35000000000000003,0.661674347158218,0.941425468729223
0.4,0.6644259918281271,0.9435751961349231
0.45,0.665404125803179,0.9451819511546474
0.5,0.6651328174022171,0.9467776251052702
0.55,0.665470208183776,0.9483622179867913
0.6000000000000001,0.662970355585126,0.9494814059660476
0.6500000000000001,0.6586644381979793,0.9502127565267497
0.7000000000000001,0.6551454488583047,0.9511324852621781
0.7500000000000001,0.6417043253712073,0.9508000531891316
0.8,0.6284089007863477,0.9507778910509286
0.8500000000000001,0.6112852664576803,0.9505341075306946
0.9000000000000001,0.5815291860783776,0.9492376224458136
0.9500000000000001,0.5160015804030027,0.9457027614024202
