threshold,f1,accuracy
0.05,0.5521670672080882,0.8802358051504809
0.1,0.6009442340952649,0.905400913080094
0.15000000000000002,0.6294647374279065,0.9188422499002704
0.2,0.6514082610802951,0.9282722397056868
0.25,0.6676919571656413,0.9353530428615753
0.3,0.6779032932879087,0.9402841186117636
0.35000000000000003,0.6837638836890054,0.9438411417933602
0.4,0.6891487979207277,0.9469881654181995
0.45,0.6921621621621622,0.9495146491733523
0.5,0.6904544496733862,0.9511657284694828
0.55,0.6886131386861314,0.9527281592128009
0.6000000000000001,0.6835615402072774,0.9536478879482293
0.6500000000000001,0.6737951096784338,0.9540246442976819
0.7000000000000001,0.6628077612913746,0.9541686981960019
0.7500000000000001,0.6474516101766546,0.9537808607774478
0.8,0.624505928853755,0.9526284295908869
0.8500000000000001,0.5956164383561644,0.9509330260183503
0.9000000000000001,0.5566182096403979,0.9486281636452285
0.9500000000000001,0.5003547896604156,0.9453814103984752
