threshold,f1,accuracy
0.05,0.5631605864302762,0.8864190417091441
0.1,0.6091131704038028,0.9097890164443065
0.15000000000000002,0.6370646379961703,0.9222884623908515
0.2,0.6552709684511377,0.9304995345950977
0.25,0.6669358094469116,0.9360068259385665
0.3,0.6764563693497704,0.9406719560303178
0.35000000000000003,0.6834310203567151,0.9443397899029299
0.4,0.6882002227609251,0.9472651921457382
0.45,0.6886207131656098,0.9493927574132353
0.5,0.6871278707116529,0.9510881609857719
0.55,0.6851307669703203,0.9525065378307699
0.6000000000000001,0.6783099450884685,0.9532600505296751
0.6500000000000001,0.6680366740436295,0.9534595097735029
0.7000000000000001,0.6557296366171765,0.9534927529808076
0.7500000000000001,0.6406196799455227,0.9532157262532689
0.8,0.6134230564901717,0.9516200523026461
0.8500000000000001,0.5841246427583665,0.9500132972829218
0.9000000000000001,0.5424189477771307,0.9477638402553078
0.9500000000000001,0.4830709066584337,0.9443397899029299
